,Awards,imdbRating,imdbVotes,imdb_id,totalSeasons,title,type,genre,runtime,rating,webChannel,network,award_exposure,Action,Adult,Adventure,Anime,Children,Comedy,Crime,Drama,Family,Fantasy,Food,History,Horror,Legal,Medical,Music,Mystery,Nature,Romance,Science-Fiction,Sports,Supernatural,Thriller,Travel,War,Western
0,Won 2 Primetime Emmys. Another 11 wins & 21 nominations.,9.5,"86,448",tt5491994,1,Planet Earth II,Documentary,['Nature'],60.0,9.7,False,BBC One,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,Won 4 Primetime Emmys. Another 11 wins & 15 nominations.,9.4,"158,749",tt0795176,1,Planet Earth,Documentary,['Nature'],60.0,9.4,False,BBC One,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Won 1 Golden Globe. Another 33 wins & 25 nominations.,9.5,"347,816",tt0185906,1,Band of Brothers,Scripted,"['Drama', 'Action', 'War']",60.0,9.4,False,HBO,59,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Won 2 Golden Globes. Another 151 wins & 234 nominations.,9.5,"1,325,388",tt0903747,5,Breaking Bad,Scripted,"['Drama', 'Crime', 'Thriller']",60.0,9.3,Netflix,AMC,387,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,Won 2 Golden Globes. Another 50 wins & 40 nominations.,9.4,"429,873",tt7366338,1,Chernobyl,Scripted,"['Drama', 'History']",60.0,9.1,False,HBO,92,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Won 1 Primetime Emmy. Another 10 wins & 12 nominations.,9.4,"27,795",tt6769208,1,Blue Planet II,Documentary,['Nature'],60.0,9.5,False,BBC One,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Nominated for 2 Primetime Emmys. Another 16 wins & 51 nominations.,9.3,"262,888",tt0306414,5,The Wire,Scripted,"['Drama', 'Crime']",60.0,9.2,False,HBO,69,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Won 2 Primetime Emmys. Another 2 wins & 16 nominations.,9.3,"23,107",tt9253866,1,Our Planet,Documentary,['Nature'],60.0,8.2,Netflix,False,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Won 1 Golden Globe. Another 273 wins & 454 nominations.,9.5,"1,429,496",tt0944947,8,Game of Thrones,Scripted,"['Drama', 'Adventure', 'Fantasy']",60.0,9.1,HBO Go,HBO,728,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Won 1 Primetime Emmy. Another 15 wins & 15 nominations.,9.2,"329,460",tt2861424,4,Rick and Morty,Animation,"['Comedy', 'Adventure', 'Science-Fiction']",30.0,9.1,False,Adult Swim,31,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Won 1 Primetime Emmy. Another 8 wins & 6 nominations.,9.2,"209,300",tt0417299,3,Avatar: The Last Airbender,Animation,"['Action', 'Adventure', 'Fantasy']",30.0,9.0,False,Nickelodeon,15,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Won 5 Golden Globes. Another 113 wins & 303 nominations.,9.2,"271,698",tt0141842,6,The Sopranos,Scripted,"['Drama', 'Crime']",60.0,9.1,False,HBO,421,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2 wins & 3 nominations.,9.2,"20,202",tt0071075,1,The World at War,Documentary,"['War', 'History']",60.0,,False,ITV,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,Won 1 Primetime Emmy. Another 2 wins & 10 nominations.,9.1,"35,945",tt1533395,1,Life,Documentary,['Nature'],60.0,7.4,False,BBC One,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Nominated for 1 Golden Globe. Another 88 wins & 172 nominations.,9.1,"751,888",tt1475582,4,Sherlock,Scripted,"['Drama', 'Crime', 'Mystery']",90.0,9.1,False,BBC One,261,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,Nominated for 4 Primetime Emmys. Another 5 wins & 6 nominations.,9.1,"15,748",tt1877514,1,The Vietnam War,Documentary,"['War', 'History']",120.0,7.6,False,PBS,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,3 wins & 4 nominations.,9.1,"100,946",tt1355642,1,Fullmetal Alchemist: Brotherhood,Animation,"['Action', 'Adventure', 'Anime', 'Fantasy']",30.0,9.0,False,TBS,7,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Won 1 Golden Globe. Another 8 wins & 14 nominations.,9.0,"65,749",tt0052520,5,The Twilight Zone,Scripted,"['Fantasy', 'Horror', 'Mystery']",30.0,9.0,False,CBS,23,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20,Nominated for 3 Primetime Emmys. Another 2 wins & 1 nomination.,9.2,"6,111",tt0111893,1,The Beatles Anthology,Documentary,['Music'],75.0,,False,ABC,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,2 wins & 4 nominations.,9.0,"22,190",tt1806234,1,Human Planet,Documentary,['Nature'],60.0,8.2,False,BBC One,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,N/A,9.1,"14,899",tt7920978,1,Şahsiyet,Scripted,"['Drama', 'Crime', 'Thriller']",60.0,,Puhu TV,False,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,Won 2 Primetime Emmys. Another 4 wins & 12 nominations.,9.0,"31,414",tt0296310,1,The Blue Planet,Documentary,['Nature'],60.0,9.6,False,BBC One,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,Won 1 Primetime Emmy. Another 5 wins & 19 nominations.,9.0,"80,764",tt0103359,4,Batman: The Animated Series,Animation,"['Action', 'Adventure', 'Science-Fiction']",30.0,9.0,False,FOX,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,Won 1 Primetime Emmy. Another 4 wins & 8 nominations.,9.0,"234,537",tt0303461,1,Firefly,Scripted,"['Adventure', 'Science-Fiction', 'Western']",60.0,9.2,False,FOX,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,Won 4 Primetime Emmys. Another 6 wins & 9 nominations.,9.0,"24,600",tt2092588,1,Frozen Planet,Documentary,['Nature'],50.0,8.8,False,BBC One,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,9 wins & 1 nomination.,9.0,"19,200",tt0092337,1,Dekalog,Scripted,['Drama'],55.0,,False,TVP1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Nominated for 4 Golden Globes. Another 30 wins & 82 nominations.,9.0,"468,610",tt2356777,3,True Detective,Scripted,"['Drama', 'Crime', 'Thriller']",60.0,8.2,False,HBO,116,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,Won 2 Primetime Emmys. Another 11 wins & 3 nominations.,9.0,"12,507",tt0098769,1,The Civil War,Documentary,"['War', 'History']",140.0,,False,PBS,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,2 wins.,9.0,"203,634",tt0877057,1,Death Note,Animation,"['Drama', 'Anime', 'Thriller', 'Mystery']",30.0,8.7,False,NTV,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
32,Won 3 Golden Globes. Another 56 wins & 210 nominations.,8.9,"295,017",tt2802850,4,Fargo,Scripted,"['Drama', 'Crime']",60.0,9.0,False,FX,269,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,N/A,8.9,"81,031",tt0213338,1,Cowboy Bebop,Animation,"['Action', 'Adventure', 'Anime', 'Science-Fiction']",30.0,9.0,False,WOWOW,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,1 win & 3 nominations.,9.0,"13,011",tt2571774,1,Africa,Documentary,['Nature'],60.0,,False,BBC One,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,Won 2 Primetime Emmys. Another 19 wins & 66 nominations.,9.0,"65,312",tt7137906,1,When They See Us,Scripted,"['Drama', 'Crime']",60.0,8.2,Netflix,False,87,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Won 16 Primetime Emmys. Another 34 wins & 51 nominations.,8.9,"73,222",tt3530232,7,Last Week Tonight with John Oliver,Talk Show,['Comedy'],30.0,8.7,False,HBO,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,N/A,9.2,"46,983",tt4742876,1,TVF Pitchers,Scripted,"['Drama', 'Comedy']",45.0,,TVFPlay,False,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,17 wins & 15 nominations.,8.9,"42,682",tt0081912,9,Only Fools and Horses,Scripted,['Comedy'],50.0,8.5,False,BBC One,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2 wins.,8.9,"42,801",tt2098220,1,Hunter x Hunter,Animation,"['Action', 'Adventure', 'Anime', 'Fantasy']",25.0,8.3,False,NTV,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Won 1 Golden Globe. Another 76 wins & 214 nominations.,8.9,"751,662",tt0108778,10,Friends,Scripted,"['Comedy', 'Romance']",30.0,8.6,False,NBC,291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Won 1 Golden Globe. Another 47 wins & 186 nominations.,8.9,"343,495",tt0386676,9,The Office,Scripted,['Comedy'],30.0,8.5,False,NBC,234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4 wins & 7 nominations.,8.8,"63,667",tt0063929,4,Monty Python's Flying Circus,Variety,['Comedy'],30.0,8.9,False,BBC One,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3 wins.,8.9,"23,276",tt0081834,1,Das Boot,Scripted,"['Action', 'Thriller', 'War']",55.0,9.0,False,Das Erste,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
45,Won 3 Golden Globes. Another 71 wins & 185 nominations.,8.8,"238,261",tt0098904,9,Seinfeld,Scripted,['Comedy'],30.0,8.6,False,NBC,259,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Won 1 Primetime Emmy. Another 8 wins & 13 nominations.,8.9,"71,026",tt0112130,1,Pride and Prejudice,Scripted,"['Drama', 'Romance']",55.0,9.4,False,BBC One,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,Won 2 Primetime Emmys. Another 11 wins & 34 nominations.,8.9,"60,753",tt1865718,2,Gravity Falls,Animation,"['Adventure', 'Mystery', 'Supernatural']",30.0,9.1,False,Disney XD,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
48,Won 6 Primetime Emmys. Another 24 wins & 85 nominations.,8.8,"387,413",tt2085059,5,Black Mirror,Scripted,"['Drama', 'Science-Fiction', 'Thriller']",60.0,8.7,Netflix,False,115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
49,Won 3 Golden Globes. Another 13 wins & 45 nominations.,8.8,"163,649",tt0098936,2,Twin Peaks,Scripted,"['Drama', 'Crime', 'Supernatural']",60.0,8.1,Amazon Prime,Showtime,61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Won 2 Primetime Emmys. Another 2 wins & 8 nominations.,8.8,"33,846",tt3718778,1,Over the Garden Wall,Animation,"['Drama', 'Fantasy', 'Mystery']",11.0,8.7,False,Cartoon Network,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,N/A,8.8,"99,306",tt4508902,2,One-Punch Man,Animation,"['Comedy', 'Action', 'Anime']",25.0,9.0,False,TV Tokyo,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2 wins & 5 nominations.,8.8,"15,838",tt2297757,4,Nathan for You,Reality,['Comedy'],30.0,6.8,False,Comedy Central,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Nominated for 2 Golden Globes. Another 8 wins & 16 nominations.,8.8,"321,232",tt2707408,3,Narcos,Scripted,"['Drama', 'Action', 'Crime']",60.0,8.5,Netflix,False,26,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,15 wins & 33 nominations.,8.8,"273,257",tt2442560,5,Peaky Blinders,Scripted,"['Drama', 'Crime', 'History']",60.0,8.9,False,BBC One,48,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Won 1 Primetime Emmy. Another 3 wins & 15 nominations.,8.8,"122,906",tt0193676,1,Freaks and Geeks,Scripted,"['Drama', 'Comedy']",60.0,8.3,False,NBC,19,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Nominated for 4 Golden Globes. Another 66 wins & 179 nominations.,8.8,"717,507",tt4574334,3,Stranger Things,Scripted,"['Drama', 'Fantasy', 'Science-Fiction']",60.0,8.7,Netflix,False,249,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,N/A,9.1,"7,075",tt6108262,1,Senke nad Balkanom,Scripted,"['Drama', 'Crime', 'Thriller']",60.0,,False,RTS1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,5 wins & 2 nominations.,8.7,"79,865",tt0072500,2,Fawlty Towers,Scripted,['Comedy'],30.0,8.7,False,BBC Two,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Won 1 Golden Globe. Another 57 wins & 113 nominations.,8.7,"265,706",tt0367279,5,Arrested Development,Scripted,"['Comedy', 'Family']",24.0,8.5,Netflix,False,171,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,8 wins & 7 nominations.,8.8,"136,657",tt2560140,3,Attack on Titan,Animation,"['Action', 'Adventure', 'Anime', 'Fantasy']",25.0,8.7,False,NHK,15,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Nominated for 3 Primetime Emmys. Another 7 wins & 11 nominations.,8.7,"50,155",tt0353049,3,Chappelle's Show,Variety,['Comedy'],30.0,8.0,False,Comedy Central,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Nominated for 3 Primetime Emmys. Another 4 wins & 11 nominations.,8.8,"179,495",tt0472954,14,It's Always Sunny in Philadelphia,Scripted,['Comedy'],30.0,8.5,False,FXX,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Nominated for 2 Golden Globes. Another 19 wins & 34 nominations.,8.7,"147,191",tt0384766,2,Rome,Scripted,"['Drama', 'Action', 'Adventure']",60.0,9.0,False,HBO,55,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Won 2 Golden Globes. Another 33 wins & 213 nominations.,8.8,"446,426",tt1856010,6,House of Cards,Scripted,"['Drama', 'Thriller']",60.0,8.4,Netflix,False,248,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,Nominated for 2 Primetime Emmys. Another 15 wins & 51 nominations.,8.7,"84,175",tt0118421,6,Oz,Scripted,"['Drama', 'Crime']",60.0,9.0,False,HBO,68,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Won 2 Golden Globes. Another 118 wins & 253 nominations.,8.8,"58,796",tt0200276,7,The West Wing,Scripted,['Drama'],60.0,9.1,False,NBC,373,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,N/A,9.1,"82,756",tt1831164,3,Leyla ile Mecnun,Scripted,"['Drama', 'Comedy', 'Adventure']",90.0,,False,TRT1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,N/A,8.8,"37,676",tt1910272,1,Steins Gate,Animation,"['Drama', 'Anime', 'Fantasy', 'Science-Fiction']",25.0,8.8,False,SUN-TV,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,N/A,8.7,"106,369",tt0214341,15,Dragon Ball Z,Animation,"['Action', 'Adventure', 'Anime', 'Fantasy']",30.0,8.9,False,Fuji TV,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Nominated for 2 Primetime Emmys. Another 8 nominations.,8.8,"39,495",tt7221388,2,Cobra Kai,Scripted,"['Drama', 'Comedy', 'Action']",30.0,6.8,YouTube Premium,False,10,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,N/A,8.9,"5,526",tt10233448,1,Vinland Saga,Animation,"['Action', 'Adventure', 'Anime']",30.0,8.9,False,NHK,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Nominated for 4 Golden Globes. Another 47 wins & 149 nominations.,8.7,"381,210",tt0475784,3,Westworld,Scripted,"['Drama', 'Science-Fiction', 'Western']",60.0,8.6,False,HBO,200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
77,N/A,8.8,"7,450",tt0158417,1,Mahabharat,Scripted,['Drama'],45.0,,False,DD National,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Won 1 Primetime Emmy. Another 6 wins & 5 nominations.,8.7,"14,877",tt0074006,1,"I, Claudius",Scripted,"['Drama', 'History']",50.0,9.8,False,BBC Two,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
